x,y,z
-42.000000,-42.000000,0.000000
42.000000,-42.000000,0.000000
42.000000,42.000000,0.000000
-42.000000,42.000000,0.000000
-38.000000,-24.000000,0.000000
-37.500000,-24.000000,0.000000
-37.000000,-24.000000,0.000000
-36.500000,-24.000000,0.000000
-36.000000,-24.000000,0.000000
-35.500000,-24.000000,0.000000
-35.500000,-23.500000,0.000000
-36.000000,-23.500000,0.000000
-36.500000,-23.500000,0.000000
-37.000000,-23.500000,0.000000
-37.500000,-23.500000,0.000000
-38.000000,-23.500000,0.000000
-38.000000,-23.000000,0.000000
-37.500000,-23.000000,0.000000
-37.000000,-23.000000,0.000000
-36.500000,-23.000000,0.000000
-36.000000,-23.000000,0.000000
-35.500000,-23.000000,0.000000
-35.500000,-22.500000,0.000000
-36.000000,-22.500000,0.000000
-36.500000,-22.500000,0.000000
-37.000000,-22.500000,0.000000
-37.500000,-22.500000,0.000000
-38.000000,-22.500000,0.000000
-38.000000,-22.000000,0.000000
-37.500000,-22.000000,0.000000
-37.000000,-22.000000,0.000000
-36.500000,-22.000000,0.000000
-36.000000,-22.000000,0.000000
-35.500000,-22.000000,0.000000
-35.500000,-21.500000,0.000000
-36.000000,-21.500000,0.000000
-36.500000,-21.500000,0.000000
-37.000000,-21.500000,0.000000
-37.500000,-21.500000,0.000000
-38.000000,-21.500000,0.000000
-12.500000,-36.000000,0.000000
-12.000000,-36.000000,0.000000
-11.500000,-36.000000,0.000000
-11.000000,-36.000000,0.000000
-10.500000,-36.000000,0.000000
-10.000000,-36.000000,0.000000
-9.500000,-36.000000,0.000000
-9.000000,-36.000000,0.000000
-8.500000,-36.000000,0.000000
-8.000000,-36.000000,0.000000
-7.500000,-36.000000,0.000000
-36.000000,-12.500000,0.000000
-36.000000,-12.000000,0.000000
-36.000000,-11.500000,0.000000
-36.000000,-11.000000,0.000000
-36.000000,-10.500000,0.000000
-36.000000,-10.000000,0.000000
-36.000000,-9.500000,0.000000
-36.000000,-9.000000,0.000000
-36.000000,-8.500000,0.000000
-36.000000,-8.000000,0.000000
-36.000000,-7.500000,0.000000
